,Flat_win_runners,Flat_wins,Flat_runs,Flat_earnings,Turf_win_runners,Turf_wins,Turf_runs,Turf_earnings,All-weather_win_runners,All-weather_wins,All-weather_runs,All-weather_earnings,Jumps_win_runners,Jumps_wins,Jumps_runs,Jumps_earnings,Chase_win_runners,Chase_wins,Chase_runs,Chase_earnings,Hurdles_win_runners,Hurdles_wins,Hurdles_runs,Hurdles_earnings,NHF_win_runners,NHF_wins,NHF_runs,NHF_earnings,Broodmare sires_win_runners,Broodmare sires_wins,Broodmare sires_runs,Broodmare sires_earnings,2yo_win_runners,2yo_wins,2yo_runs,2yo_earnings,First Crop_win_runners,First Crop_wins,First Crop_runs,First Crop_earnings,5-6f_win_runners,5-6f_wins,5-6f_runs,5-6f_earnings,7-9f_win_runners,7-9f_wins,7-9f_runs,7-9f_earnings,10-11f_win_runners,10-11f_wins,10-11f_runs,10-11f_earnings,12-13f_win_runners,12-13f_wins,12-13f_runs,12-13f_earnings,14f+_win_runners,14f+_wins,14f+_runs,14f+_earnings,Heavy_win_runners,Heavy_wins,Heavy_runs,Heavy_earnings,Soft_win_runners,Soft_wins,Soft_runs,Soft_earnings,Gd-sft_win_runners,Gd-sft_wins,Gd-sft_runs,Gd-sft_earnings,Good_win_runners,Good_wins,Good_runs,Good_earnings,Gd-fm_win_runners,Gd-fm_wins,Gd-fm_runs,Gd-fm_earnings,Firm_win_runners,Firm_wins,Firm_runs,Firm_earnings
Coroner,0/1,0,4,—,0/1,0,4,—,,,,,3/18,10,166,"£85,877",2/6,8,59,"£65,870",1/16,1,88,"£15,493",1/12,1,19,"£4,514",0/1,0,1,£289,0/1,0,2,—,,,,,0/1,0,1,—,0/1,0,2,—,,,,,0/1,0,1,—,,,,,2/7,3,18,"£17,213",2/8,4,36,"£38,333",1/7,1,14,"£11,507",0/18,0,73,"£11,304",0/5,0,10,£851,,,,
Cotai Glory,25/68,34,269,"£487,875",22/65,28,222,"£440,302",6/36,6,47,"£47,574",,,,,,,,,,,,,,,,,,,,,25/68,34,268,"£487,875",25/68,34,269,"£487,875",21/57,30,210,"£441,033",4/31,4,59,"£46,842",,,,,,,,,,,,,,,,,3/19,3,24,"£25,432",4/19,5,30,"£44,046",9/52,9,92,"£242,468",11/36,11,66,"£148,145",0/1,0,1,£501
Coulsty,11/25,21,185,"£169,839",8/25,14,136,"£120,413",4/15,7,49,"£49,426",,,,,,,,,,,,,,,,,,,,,7/19,10,83,"£89,626",6/15,9,73,"£83,304",4/18,7,90,"£86,157",8/20,14,87,"£82,244",0/6,0,8,"£1,439",,,,,,,,,2/8,2,11,"£17,903",3/16,4,32,"£32,791",2/7,2,16,"£12,624",4/20,5,41,"£46,390",1/12,1,23,"£11,026",0/1,0,1,"£1,020"
Dandy Man,271/563,682,7235,"£8,028,723",204/539,421,4705,"£5,943,248",140/458,261,2530,"£2,085,475",2/31,5,114,"£54,405",,,,,2/29,5,106,"£53,512",0/4,0,8,£892,11/28,29,216,"£521,671",143/465,188,1995,"£2,643,082",18/46,22,193,"£369,775",197/508,468,4533,"£5,479,452",103/390,198,2488,"£2,422,461",9/71,13,159,"£105,435",3/24,3,51,"£20,974",10/3,0,4,£400,18/113,23,179,"£328,640",50/270,60,633,"£839,069",42/231,49,535,"£724,586",95/428,122,1509,"£1,988,747",93/413,145,1401,"£1,842,737",5/37,5,49,"£46,909"
Dansant,0/5,0,22,"£6,701",0/4,0,16,"£4,408",0/2,0,6,"£2,293",10/30,21,252,"£247,876",4/13,6,77,"£95,387",6/21,11,140,"£122,236",4/19,4,35,"£30,253",1/2,1,24,"£11,543",0/2,0,3,—,0/2,0,3,—,0/1,0,2,£265,0/5,0,14,"£4,345",0/1,0,1,£199,0/1,0,5,"£1,893",,,,,4/12,5,44,"£57,098",1/19,2,49,"£40,786",1/4,1,17,"£18,729",4/22,6,86,"£88,030",1/5,1,5,"£4,854",,,,
Dark Angel,545/948,1375,11704,"£24,546,895",405/909,882,7960,"£20,357,835",280/692,493,3744,"£4,189,060",24/96,65,688,"£1,222,006",3/11,6,57,"£196,097",22/91,57,610,"£1,013,417",2/13,2,21,"£12,492",57/124,117,1005,"£1,758,913",280/728,363,2913,"£4,905,171",27/62,44,334,"£391,425",268/697,562,4176,"£11,130,020",338/806,672,6122,"£11,887,480",57/247,87,909,"£1,029,145",23/103,33,346,"£343,994",17/45,21,151,"£156,256",27/226,28,350,"£720,274",100/501,125,1239,"£3,528,747",104/457,136,1228,"£3,109,297",197/716,288,2685,"£6,572,454",218/699,314,2508,"£6,759,945",11/66,12,85,"£162,328"
Dartmouth,0/1,0,2,—,0/1,0,1,—,0/1,0,1,—,,,,,,,,,,,,,,,,,,,,,0/1,0,2,—,0/1,0,2,—,,,,,0/1,0,2,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0,1,—,,,,
Dawn Approach,102/237,185,1866,"£3,583,254",70/219,111,1182,"£2,880,798",46/166,74,684,"£702,457",4/32,5,122,"£44,535",0/1,0,3,"£1,080",2/27,3,95,"£34,888",2/9,2,24,"£8,567",0/2,0,5,£744,35/161,44,509,"£609,607",8/39,10,107,"£126,831",20/99,28,297,"£303,127",66/215,103,1060,"£1,954,527",25/113,35,325,"£603,576",14/59,17,148,"£694,275",4/16,2,36,"£27,749",4/48,4,69,"£80,181",8/108,9,156,"£369,288",7/60,8,94,"£94,851",27/167,31,439,"£799,318",28/107,35,252,"£1,272,125",2/11,2,13,"£14,946"
Decorated Knight,5/17,6,54,"£67,153",5/14,6,34,"£61,057",0/11,0,20,"£6,096",,,,,,,,,,,,,,,,,,,,,5/17,6,54,"£67,153",5/17,6,54,"£67,153",1/6,1,11,"£10,611",4/14,4,38,"£33,126",1/4,1,5,"£23,416",,,,,,,,,1/2,1,2,"£5,735",2/5,3,8,"£35,244",0/1,0,1,"£1,268",2/10,2,14,"£14,826",0/6,0,8,"£4,260",,,,
Diamond Boy,1/2,1,5,"£3,458",0/1,0,3,—,1/1,1,2,"£3,458",15/39,39,291,"£603,685",7/15,11,92,"£208,957",12/31,24,153,"£361,120",3/24,4,46,"£33,608",,,,,,,,,,,,,,,,,0/1,0,3,—,0/1,0,1,£289,1/1,1,1,"£3,169",,,,,7/21,11,43,"£117,995",4/25,8,76,"£216,863",2/19,2,34,"£47,536",6/28,13,82,"£161,637",2/5,2,9,"£17,558",,,,
Doyen,41/93,128,1226,"£1,009,090",33/83,81,792,"£808,973",24/72,47,434,"£200,116",111/266,276,2362,"£3,113,257",37/79,72,493,"£1,120,241",89/215,152,1434,"£1,669,451",44/196,52,435,"£323,566",20/50,57,548,"£703,035",9/41,11,105,"£61,594",,,,,7/24,18,196,"£80,437",28/74,62,572,"£349,798",18/64,28,260,"£317,038",8/42,10,128,"£113,940",6/18,10,70,"£147,876",25/156,32,306,"£383,349",50/213,68,625,"£880,042",48/154,66,462,"£770,854",71/244,114,1023,"£1,278,666",21/89,34,313,"£289,372",1/15,1,21,"£8,610"
Dragon Dancer,,,,,,,,,,,,,3/7,8,61,"£76,387",1/2,1,6,"£6,643",2/5,7,48,"£69,367",0/3,0,7,£377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/4,1,11,"£9,558",1/4,2,15,"£25,369",0/2,0,7,"£5,668",2/3,4,22,"£28,197",0/1,0,1,"£1,622",,,,
Dragon Pulse,104/222,237,2252,"£2,444,331",78/212,136,1489,"£1,703,840",56/156,101,763,"£740,491",8/38,9,211,"£105,887",0/4,0,11,"£7,861",8/32,9,184,"£95,163",0/9,0,16,"£2,863",0/1,0,5,"£1,377",48/173,66,731,"£822,566",16/39,23,162,"£265,923",51/154,91,822,"£992,849",54/181,107,1042,"£1,061,444",16/71,27,227,"£236,485",7/46,9,111,"£74,234",5/16,3,50,"£79,319",7/61,7,103,"£120,859",14/131,15,272,"£230,636",15/80,17,182,"£229,540",40/168,52,524,"£623,944",27/131,32,330,"£363,366",1/6,1,10,"£5,151"
Dubawi,596/914,1355,7306,"£33,922,415",477/843,968,5331,"£30,835,036",243/603,387,1975,"£3,087,378",36/74,105,629,"£1,393,761",6/10,16,67,"£584,020",32/62,83,503,"£774,940",6/24,6,59,"£34,801",177/348,420,3144,"£5,960,353",262/634,335,1739,"£4,564,809",,,,,96/266,166,1075,"£2,534,309",420/815,744,3933,"£16,779,287",170/440,265,1318,"£9,675,358",76/226,126,595,"£3,048,835",35/111,54,385,"£1,884,625",26/145,29,229,"£1,416,020",122/444,155,922,"£4,838,518",123/440,155,891,"£4,506,408",236/659,329,1904,"£9,990,282",244/633,360,1759,"£11,009,966",9/38,10,43,"£62,435"
Due Diligence,37/90,88,715,"£899,978",23/76,52,403,"£605,585",22/73,36,312,"£294,393",0/1,0,3,£700,,,,,0/1,0,3,£700,,,,,,,,,21/72,35,289,"£436,482",16/43,28,179,"£342,444",19/81,55,385,"£680,325",18/55,30,287,"£197,520",3/13,3,37,"£21,832",0/4,0,4,£300,2/2,0,2,—,0/8,0,10,"£3,986",8/32,10,55,"£62,738",6/28,8,55,"£88,483",12/53,16,141,"£247,890",11/56,16,132,"£174,481",1/5,1,6,"£7,502"
Elusive Pimpernel,25/78,51,689,"£612,714",21/76,37,494,"£524,492",7/45,14,195,"£88,221",25/91,59,663,"£827,552",9/17,19,108,"£290,777",20/72,28,433,"£430,334",10/56,12,122,"£106,441",3/3,3,16,"£31,909",9/40,12,140,"£91,358",5/12,7,49,"£38,749",4/22,5,67,"£68,636",19/61,38,403,"£359,536",2/44,2,109,"£45,031",3/37,4,80,"£116,123",1/16,2,30,"£23,389",9/52,12,134,"£182,640",13/83,16,197,"£307,013",4/26,4,53,"£96,750",18/108,29,347,"£479,354",7/46,7,94,"£82,331",0/2,0,2,£466
Elzaam,96/216,214,2036,"£2,635,743",80/206,159,1463,"£2,162,433",38/136,55,573,"£473,310",5/25,6,107,"£62,207",0/1,0,2,£350,5/22,6,96,"£61,012",0/5,0,9,£846,,,,,50/147,69,579,"£914,875",14/32,21,152,"£241,246",47/139,81,724,"£896,012",56/177,107,1053,"£1,508,375",16/60,21,165,"£184,946",5/32,5,70,"£43,338",3/13,0,24,"£3,073",7/50,7,78,"£104,082",22/108,24,240,"£375,492",15/74,20,175,"£325,772",35/157,45,491,"£726,046",33/110,42,337,"£445,431",1/7,1,8,"£13,292"
Equiano,192/435,522,5257,"£6,625,236",144/401,334,3196,"£5,205,313",96/351,188,2061,"£1,419,923",0/20,0,81,"£6,189",0/1,0,1,—,0/16,0,70,"£5,449",0/5,0,10,£739,10/45,17,293,"£253,885",85/321,116,1220,"£1,275,018",16/56,21,232,"£333,956",148/392,371,3564,"£5,349,459",66/275,144,1598,"£1,190,450",5/40,6,72,"£54,556",1/14,1,18,"£26,788",7/3,0,5,"£3,982",8/63,8,84,"£282,028",46/211,64,488,"£895,298",43/217,49,490,"£632,258",56/289,80,929,"£1,411,946",66/299,110,1069,"£1,721,424",8/39,9,70,"£65,005"
Estidhkaar,20/58,30,338,"£234,813",11/52,15,230,"£138,649",12/38,15,108,"£96,164",0/4,0,9,"£3,692",,,,,0/4,0,9,"£3,692",,,,,,,,,11/42,13,149,"£93,227",7/30,8,107,"£64,287",7/34,11,101,"£66,064",15/52,19,206,"£161,530",0/15,0,25,"£5,523",0/5,0,6,"£1,696",,,,,1/12,1,14,"£6,167",1/19,1,31,"£19,521",0/10,0,15,"£4,881",4/41,5,90,"£53,124",5/25,8,54,"£56,240",,,,
Exceed And Excel,554/938,1470,12336,"£18,915,546",398/884,816,7496,"£14,011,867",322/758,654,4840,"£4,903,679",8/41,23,221,"£172,406",3/4,6,28,"£50,307",8/37,17,179,"£121,228",0/5,0,14,£872,217/440,523,4556,"£7,621,149",283/751,383,2680,"£5,060,794",,,,,357/745,866,6881,"£10,758,150",256/701,524,4733,"£7,441,308",35/155,52,490,"£510,975",13/50,21,171,"£165,681",22/15,7,61,"£39,432",12/101,15,157,"£196,148",47/387,55,785,"£1,498,351",84/433,101,957,"£2,076,206",187/709,257,2529,"£4,743,840",242/727,359,2874,"£5,344,623",32/138,41,195,"£310,844"
Falco,8/15,19,167,"£256,508",7/14,16,126,"£237,435",2/6,3,41,"£19,073",9/24,19,168,"£305,301",3/7,4,44,"£80,244",8/21,15,111,"£222,772",0/7,0,13,"£2,285",6/14,15,130,"£128,520",0/6,0,16,"£2,305",0/1,0,2,—,0/2,0,2,—,7/11,13,84,"£189,311",3/12,4,46,"£51,599",1/6,1,26,"£11,437",1/3,1,9,"£4,160",7/14,7,27,"£51,847",6/23,9,63,"£173,703",4/23,5,58,"£91,230",5/22,5,80,"£89,896",6/10,8,40,"£111,417",,,,
Famous Name,23/55,58,667,"£839,667",17/52,44,475,"£739,840",10/39,14,192,"£99,827",10/34,23,242,"£201,407",2/4,7,17,"£46,475",9/29,13,194,"£137,174",2/13,3,31,"£17,758",0/2,0,6,"£5,723",7/36,8,121,"£81,518",4/18,5,56,"£64,629",0/23,0,50,"£8,357",16/49,37,357,"£668,322",6/31,13,162,"£105,120",3/23,4,69,"£32,346",1/6,4,29,"£25,522",6/41,8,76,"£245,051",8/40,17,122,"£212,288",3/28,6,60,"£70,063",8/52,14,205,"£194,981",6/25,10,90,"£163,880",0/3,0,3,£337
Farhh,42/87,110,659,"£3,322,935",34/74,76,450,"£2,995,521",20/61,34,209,"£327,413",2/12,6,48,"£55,708",,,,,2/8,6,42,"£54,745",0/4,0,6,£963,,,,,12/57,14,142,"£277,824",6/18,8,48,"£126,961",5/26,6,59,"£67,734",29/76,56,306,"£1,593,651",12/37,20,133,"£316,589",9/29,17,92,"£706,420",6/16,11,69,"£638,541",5/17,5,25,"£671,887",10/34,14,74,"£475,244",8/40,11,74,"£195,186",16/54,19,146,"£955,211",18/53,27,142,"£672,139",2/5,2,5,"£11,507"
Fascinating Rock,12/38,16,201,"£197,991",9/36,11,150,"£153,786",5/23,5,51,"£44,205",0/1,0,1,"£1,078",,,,,0/1,0,1,"£1,078",,,,,,,,,4/23,5,70,"£70,056",2/14,2,39,"£28,162",2/14,2,32,"£39,855",8/36,8,130,"£105,042",4/11,5,26,"£47,253",1/8,1,13,"£5,841",,,,,0/6,0,7,"£2,135",0/19,0,25,"£27,367",3/9,4,14,"£30,276",4/21,4,49,"£60,550",1/11,1,26,"£26,616",1/3,1,3,"£4,280"
Feel Like Dancing,0/1,0,2,—,0/1,0,2,—,,,,,2/4,3,23,"£18,663",0/1,0,1,—,1/3,2,19,"£15,774",1/1,1,3,"£2,890",,,,,,,,,,,,,,,,,0/1,0,1,—,,,,,0/1,0,1,—,,,,,0/1,0,1,—,0/2,0,2,—,,,,,2/2,3,14,"£19,477",,,,,,,,
Flemensfirth,3/27,7,91,"£131,793",3/27,7,82,"£130,260",0/5,0,9,"£1,533",692/1524,1834,15589,"£24,758,415",306/683,650,5185,"£13,348,367",517/1270,883,8182,"£9,293,374",249/1027,301,2222,"£2,116,674",195/512,503,4650,"£4,241,915",,,,,,,,,,,,,0/3,0,3,—,0/7,0,9,£992,2/17,2,28,"£21,606",2/18,5,51,"£109,195",232/956,323,2812,"£4,592,814",345/1129,534,3946,"£7,542,232",176/618,245,1835,"£3,763,822",245/998,379,3552,"£4,848,280",48/353,57,669,"£449,732",0/64,0,82,"£4,610"
Footstepsinthesand,294/583,822,7541,"£10,461,776",228/552,516,4970,"£7,824,746",145/449,306,2571,"£2,637,030",21/73,46,523,"£563,926",2/7,2,42,"£22,589",20/64,42,455,"£531,988",2/15,2,26,"£9,349",57/137,110,1219,"£1,888,476",141/438,181,1625,"£2,689,318",,,,,139/382,308,2569,"£3,368,147",177/509,382,3735,"£5,389,858",50/206,77,771,"£931,746",21/95,41,358,"£407,980",12/32,14,108,"£364,044",27/137,31,245,"£494,419",54/267,65,670,"£909,137",44/233,54,608,"£699,244",122/452,170,1820,"£3,430,621",115/413,185,1578,"£2,702,314",14/47,14,63,"£73,537"
Fountain Of Youth,20/85,36,576,"£283,574",14/70,28,352,"£194,998",7/65,8,224,"£88,575",0/3,0,6,£704,,,,,0/2,0,4,£704,0/1,0,2,—,,,,,9/63,10,226,"£99,870",5/34,6,119,"£60,553",12/68,14,306,"£128,269",10/58,17,227,"£123,093",1/12,4,28,"£27,087",1/5,1,11,"£4,318",0/2,0,4,£807,1/5,1,8,"£8,934",1/35,2,62,"£29,480",3/34,4,55,"£25,755",8/56,11,127,"£71,732",5/45,10,100,"£59,448",0/1,0,1,£712
Frankel,222/325,471,2328,"£16,649,069",184/313,347,1723,"£15,566,527",87/193,124,605,"£1,082,541",4/17,10,93,"£92,007",0/1,0,2,£350,4/16,10,89,"£91,123",0/2,0,2,£534,6/9,9,30,"£109,802",86/213,113,497,"£2,222,867",15/30,22,68,"£364,587",28/57,40,170,"£574,680",128/276,208,1036,"£6,606,577",89/204,127,602,"£3,752,415",41/126,49,290,"£3,561,020",24/61,47,230,"£2,154,376",10/60,12,77,"£377,855",31/153,37,257,"£2,778,022",40/149,52,243,"£2,957,493",88/244,113,586,"£4,477,313",100/217,129,553,"£5,010,747",4/7,4,11,"£34,950"
Free Eagle,39/86,84,615,"£923,980",28/81,48,418,"£713,406",23/62,36,197,"£210,574",4/22,5,71,"£56,927",,,,,3/18,4,58,"£49,262",1/8,1,13,"£7,665",,,,,16/58,19,168,"£197,810",9/33,12,97,"£139,562",4/24,5,54,"£32,452",29/78,46,307,"£382,914",15/55,20,147,"£146,740",3/31,6,79,"£191,563",5/14,7,28,"£170,313",2/15,2,27,"£24,354",11/45,13,87,"£125,661",4/30,4,41,"£32,046",13/68,17,171,"£384,891",10/49,13,83,"£107,472",1/8,1,8,"£6,048"
French Navy,6/28,14,188,"£237,539",4/27,8,134,"£196,575",4/13,6,54,"£40,964",1/6,1,13,"£13,084",,,,,1/5,1,8,"£12,548",0/1,0,5,£536,,,,,2/17,2,60,"£48,473",2/7,2,28,"£43,039",1/12,1,33,"£16,678",5/25,8,93,"£126,065",1/16,2,39,"£55,902",1/6,1,12,"£24,465",1/1,2,11,"£14,430",0/9,0,12,"£9,206",1/12,1,18,"£28,452",0/7,0,8,"£5,204",3/23,3,50,"£67,675",3/11,4,26,"£35,403",0/1,0,1,"£1,268"
Galileo,920/1413,1832,11515,"£94,712,360",813/1368,1572,9599,"£92,511,191",207/678,260,1916,"£2,201,169",170/321,380,3294,"£4,937,513",33/82,64,549,"£585,167",156/306,288,2629,"£4,164,074",21/53,28,116,"£188,272",725/1251,1626,12516,"£33,284,860",308/872,414,2106,"£13,471,788",,,,,16/114,21,174,"£549,421",494/1162,733,4186,"£36,189,905",381/1031,514,3121,"£26,061,541",270/850,343,2326,"£21,664,274",135/458,221,1708,"£10,247,218",99/444,109,739,"£3,344,487",206/799,266,1844,"£12,614,007",148/557,173,1263,"£10,720,571",447/1176,634,4193,"£36,032,424",332/974,449,2753,"£30,204,806",15/70,16,87,"£411,512"
Galileo Gold,16/47,22,175,"£394,499",10/43,16,134,"£363,176",6/28,6,41,"£31,323",,,,,,,,,,,,,,,,,,,,,16/47,22,175,"£394,499",16/47,22,175,"£394,499",8/29,11,89,"£286,900",9/37,11,86,"£107,599",,,,,,,,,,,,,0/2,0,2,"£7,274",1/14,2,18,"£20,321",3/14,3,18,"£28,854",3/27,4,41,"£108,703",5/22,6,44,"£70,076",0/1,0,1,—
Gamut,1/7,1,34,"£13,247",0/6,0,17,"£2,784",1/4,1,17,"£10,463",47/152,144,1611,"£2,239,367",24/59,62,510,"£1,520,939",37/121,68,889,"£627,968",13/100,14,212,"£90,460",1/1,2,15,"£23,158",,,,,,,,,,,,,0/5,0,9,"£1,346",1/2,1,8,"£6,989",0/3,0,13,"£2,791",0/3,0,4,"£2,122",13/77,24,197,"£331,272",18/98,24,331,"£502,237",10/53,17,152,"£175,472",32/123,53,560,"£742,827",2/44,3,56,"£24,306",,,,
Gentlewave,4/12,13,158,"£195,623",2/10,2,75,"£97,598",4/9,11,83,"£98,025",18/47,41,274,"£598,567",7/11,15,63,"£341,040",12/29,23,151,"£237,871",3/33,3,60,"£19,656",2/5,6,30,"£35,843",1/3,1,8,"£2,264",,,,,0/1,0,1,—,2/7,4,26,"£21,357",1/11,1,26,"£34,686",2/8,2,26,"£60,116",2/5,6,79,"£79,465",5/17,6,36,"£50,405",7/33,8,74,"£155,912",7/28,8,63,"£112,005",8/38,11,111,"£144,948",2/10,2,18,"£18,047",,,,
Getaway,6/18,15,116,"£176,786",4/13,8,66,"£108,720",4/11,7,50,"£68,066",216/554,463,4268,"£4,958,807",65/169,108,816,"£1,420,653",161/444,265,2632,"£2,848,874",78/396,90,820,"£689,279",2/3,3,42,"£5,252",,,,,,,,,,,,,1/6,1,19,"£9,793",1/7,1,17,"£20,118",2/12,5,38,"£65,621",3/7,8,42,"£81,254",47/255,59,478,"£628,001",80/374,103,1012,"£1,246,187",53/240,71,569,"£710,689",106/407,159,1464,"£1,895,008",15/57,20,80,"£132,008",,,,
Gleneagles,85/152,156,1056,"£2,246,328",68/143,112,713,"£1,890,474",32/107,44,343,"£355,855",2/14,5,39,"£50,038",,,,,2/13,5,36,"£49,886",0/1,0,3,£152,,,,,35/101,50,305,"£808,951",16/44,22,118,"£449,945",15/49,22,138,"£383,780",49/131,75,529,"£991,289",33/83,43,270,"£684,404",6/39,12,85,"£145,936",5/17,4,34,"£40,919",7/26,9,32,"£103,256",15/75,19,117,"£314,112",11/48,11,73,"£146,342",36/107,43,255,"£784,118",18/91,20,180,"£455,697",1/3,2,5,"£6,575"
Golden Horn,70/133,132,804,"£1,618,630",48/115,78,509,"£1,185,296",36/104,54,295,"£433,335",7/9,9,35,"£51,649",,,,,7/8,9,31,"£49,234",0/2,0,4,"£2,415",,,,,19/94,20,192,"£213,417",8/39,9,82,"£118,532",0/14,0,19,"£6,492",30/104,35,296,"£368,529",30/101,45,255,"£506,727",27/69,38,162,"£444,232",7/33,14,72,"£292,650",4/14,4,15,"£32,900",12/55,14,83,"£223,350",8/49,9,73,"£130,060",29/89,34,199,"£418,146",21/77,25,155,"£441,586",0/3,0,3,"£1,010"
Gregorian,38/83,81,878,"£781,303",29/76,54,564,"£610,665",15/63,27,314,"£170,637",3/14,4,44,"£26,362",0/1,0,1,£879,2/10,3,37,"£23,577",1/4,1,6,"£1,906",,,,,20/62,26,318,"£343,677",8/34,9,154,"£163,171",17/55,29,417,"£407,154",18/67,38,356,"£264,547",4/22,10,66,"£82,243",2/15,2,29,"£17,225",3/4,2,10,"£10,134",4/21,4,31,"£33,341",5/43,7,109,"£121,732",9/44,10,101,"£115,025",14/59,19,172,"£173,957",12/54,16,155,"£171,413",0/7,0,7,"£2,078"
Gutaifan,72/178,142,1481,"£1,360,845",60/158,95,979,"£1,035,058",32/131,47,502,"£325,787",0/6,0,18,"£1,457",,,,,0/6,0,17,"£1,457",0/1,0,1,—,,,,,47/153,60,596,"£567,790",25/77,34,328,"£359,196",53/139,91,774,"£839,505",23/132,39,593,"£442,331",5/29,5,80,"£37,526",4/15,7,32,"£32,423",2/1,0,2,"£9,060",5/36,5,46,"£58,892",9/87,11,162,"£120,679",10/65,12,114,"£111,214",25/132,31,322,"£387,814",25/105,31,251,"£358,446",2/9,2,9,"£9,258"
Haafhd,135/252,397,3594,"£2,980,075",104/234,253,2324,"£2,341,615",71/204,144,1270,"£638,461",26/81,78,678,"£991,473",8/9,17,93,"£189,770",23/65,58,523,"£785,637",3/31,3,62,"£16,067",73/131,219,1738,"£3,521,804",55/174,75,623,"£548,836",,,,,32/132,51,540,"£523,141",98/236,213,1857,"£1,447,390",41/134,74,646,"£613,363",23/91,44,376,"£264,475",10/40,15,175,"£131,706",13/62,18,141,"£197,281",32/150,47,474,"£504,850",34/163,54,511,"£568,001",75/206,115,983,"£1,182,146",55/208,87,775,"£785,692",6/42,6,54,"£29,596"
Haatef,47/78,109,1174,"£1,020,376",32/77,55,681,"£620,369",22/56,54,493,"£400,006",2/20,2,113,"£31,196",0/2,0,11,£308,2/18,2,96,"£30,698",0/3,0,6,£189,7/15,20,137,"£178,007",24/61,31,285,"£317,755",8/21,10,107,"£80,578",22/59,48,422,"£426,029",28/65,40,540,"£450,006",5/29,10,122,"£69,238",5/11,8,62,"£55,786",1/7,3,28,"£19,317",3/20,5,34,"£58,195",6/52,8,113,"£98,156",3/30,3,69,"£43,896",8/69,13,246,"£150,314",17/65,20,225,"£285,644",2/6,3,8,"£11,481"
Harzand,12/27,14,160,"£155,222",11/24,13,125,"£144,266",1/16,1,35,"£10,956",,,,,,,,,,,,,,,,,,,,,2/16,2,48,"£32,421",2/13,2,35,"£28,667",0/3,0,19,"£4,843",5/20,5,53,"£61,825",4/18,4,51,"£44,437",4/13,4,29,"£37,260",1/7,1,8,"£6,857",1/6,1,6,"£12,989",0/17,0,32,"£18,774",5/13,5,19,"£19,067",3/16,3,33,"£44,183",2/14,2,23,"£19,610",,,,
Havana Gold,99/226,198,2073,"£2,424,077",68/208,126,1251,"£1,858,560",49/180,72,822,"£565,517",1/18,1,71,"£22,133",0/1,0,6,"£6,597",1/17,1,62,"£15,536",0/2,0,3,—,,,,,54/194,76,742,"£1,021,814",18/58,25,223,"£337,175",51/167,91,757,"£1,379,867",46/181,80,1062,"£851,429",11/60,15,167,"£126,335",7/31,11,78,"£61,291",1/6,1,9,"£5,155",2/29,2,34,"£18,560",8/90,8,168,"£204,296",8/101,8,161,"£139,103",36/159,47,416,"£652,835",36/167,57,488,"£672,785",2/10,2,12,"£11,514"
Heeraat,43/152,103,1389,"£1,025,267",28/138,52,807,"£672,240",24/122,51,582,"£353,027",1/13,2,38,"£15,515",,,,,1/7,2,31,"£15,515",0/6,0,7,—,,,,,20/119,27,519,"£289,627",7/38,8,166,"£91,511",30/126,56,844,"£559,335",19/112,46,498,"£446,850",0/16,0,37,"£13,133",1/8,1,9,"£5,949",1/1,0,1,—,3/31,3,34,"£37,136",5/68,6,116,"£105,592",4/58,7,94,"£81,692",12/103,15,293,"£193,619",15/103,18,253,"£245,003",2/8,2,11,"£10,087"
Highland Reel,6/23,9,71,"£75,874",6/21,9,55,"£71,766",0/11,0,16,"£4,108",,,,,,,,,,,,,,,,,,,,,6/23,9,71,"£75,874",6/23,9,71,"£75,874",3/7,3,14,"£24,263",4/23,6,54,"£49,075",0/3,0,3,"£2,536",,,,,,,,,0/1,0,1,—,2/9,2,11,"£11,813",0/2,0,3,"£2,637",3/11,3,17,"£23,800",3/10,3,13,"£26,343",,,,
Hillstar,,,,,,,,,,,,,3/4,3,11,"£17,554",,,,,0/1,0,3,—,3/4,3,8,"£17,554",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/4,2,8,"£12,926",,,,,,,,
Holy Roman Emperor,354/642,782,7209,"£9,893,572",280/606,513,4696,"£7,944,307",142/472,269,2513,"£1,949,265",22/57,44,515,"£386,723",2/5,4,29,"£29,167",21/53,38,458,"£343,621",1/8,2,28,"£13,935",126/260,251,2345,"£3,538,973",175/502,221,2063,"£3,142,008",,,,,145/417,272,2408,"£3,393,816",220/547,387,3520,"£4,897,965",53/201,91,838,"£1,161,495",18/120,27,342,"£383,937",6/39,5,101,"£56,359",19/152,23,258,"£300,944",67/305,81,689,"£954,121",40/253,54,566,"£1,118,643",131/477,167,1656,"£2,813,835",125/435,156,1376,"£2,589,876",9/40,11,55,"£76,008"
